WORDS,FREQ
emotional,1
story,1
mieko,4
talented,1
artist,2
calligrapher,1
handwrite,1
hand,1
badly,1
hurt,1
bombing,1
war,1
scared,1
little,1
girl,1
send,1
live,1
grandparent,2
countryside,1
safe,1
worry,1
afraid,1
lose,1
5th,1
treasure,2
beauty,1
heart,1
key,1
happiness,1
beautiful,1
art,1
start,1
new,2
school,1
classmate,1
mean,1
constantly,1
laugh,1
tease,1
make,1
angry,1
eventually,1
manage,1
lift,1
darkness,1
patience,1
wisdom,1
